Designator,Mid X,Mid Y,Rotation,Layer
BT2,152.49,-91.67,90.0,bottom
H1,129.0,-72.5,0.0,top
H2,128.99,-100.58,0.0,top
H3,162.84,-72.5,0.0,top
H4,162.84,-100.58,0.0,top
OLED_DISPLAY1,133.11,-91.71,90.0,top
RST,147.11,-71.326584,270.0,top
SEL,142.26,-71.326584,270.0,top
SET,137.41,-71.326584,270.0,top
U2,154.87,-71.17,0.0,top
WK,132.56,-71.326584,270.0,top
