Designator,Footprint,Quantity,Value,LCSC Part #
BT2,BatteryHolder_Keystone_1059_THT,1,1059,
"H1, H2, H3, H4",Circular_Mounting_Hole_1mmDia,4,MountingHole,
OLED_DISPLAY1,SSD1306_OLED_Display_128x64,1,OLED DISPLAY,
RST,PTS636_SM43_LFS,1,RST,C2689642
SEL,PTS636_SM43_LFS,1,SEL,C2689642
SET,PTS636_SM43_LFS,1,SET,C2689642
U2,DIP-8_W7.62mm_Socket,1,ATTINY85-20SUR,C31540447
WK,PTS636_SM43_LFS,1,WK,C2689642
